path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,augment
data\raw\openslr_librispeech_asr\librispeech_dev_652-130737-0011.flac,0,0,0,1,0,652,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_652-130737-0011,none
data\raw\openslr_librispeech_asr\librispeech_dev_3081-166546-0008.flac,0,0,0,1,0,3081,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3081-166546-0008,none
data\raw\openslr_librispeech_asr\librispeech_dev_652-130737-0010.flac,0,0,0,1,0,652,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_652-130737-0010,none
data\raw\openslr_librispeech_asr\librispeech_dev_1993-147149-0022.flac,0,0,0,1,0,1993,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1993-147149-0022,none
data\raw\openslr_librispeech_asr\librispeech_dev_7976-110124-0015.flac,0,0,0,1,0,7976,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_7976-110124-0015,none
data\raw\openslr_librispeech_asr\librispeech_dev_1988-24833-0001.flac,0,0,0,1,0,1988,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1988-24833-0001,none
data\raw\openslr_librispeech_asr\librispeech_dev_5536-43363-0010.flac,0,0,0,1,0,5536,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5536-43363-0010,none
data\raw\openslr_librispeech_asr\librispeech_dev_1462-170145-0006.flac,0,0,0,1,0,1462,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1462-170145-0006,none
data\raw\openslr_librispeech_asr\librispeech_dev_7850-281318-0005.flac,0,0,0,1,0,7850,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_7850-281318-0005,none
data\raw\openslr_librispeech_asr\librispeech_dev_7976-110124-0023.flac,0,0,0,1,0,7976,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_7976-110124-0023,none
data\raw\openslr_librispeech_asr\librispeech_dev_1462-170138-0001.flac,0,0,0,1,0,1462,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1462-170138-0001,none
data\raw\openslr_librispeech_asr\librispeech_dev_6345-64257-0004.flac,0,0,0,1,0,6345,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_6345-64257-0004,none
data\raw\openslr_librispeech_asr\librispeech_dev_5338-284437-0015.flac,0,0,0,1,0,5338,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5338-284437-0015,none
data\raw\openslr_librispeech_asr\librispeech_dev_5694-64038-0010.flac,0,0,0,1,0,5694,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5694-64038-0010,none
data\raw\openslr_librispeech_asr\librispeech_dev_2277-149897-0010.flac,0,0,0,1,0,2277,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2277-149897-0010,none
data\raw\openslr_librispeech_asr\librispeech_dev_2277-149897-0012.flac,0,0,0,1,0,2277,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2277-149897-0012,none
data\raw\openslr_librispeech_asr\librispeech_dev_7850-281318-0010.flac,0,0,0,1,0,7850,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_7850-281318-0010,none
data\raw\openslr_librispeech_asr\librispeech_dev_6241-66616-0009.flac,0,0,0,1,0,6241,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_6241-66616-0009,none
data\raw\openslr_librispeech_asr\librispeech_dev_2277-149897-0035.flac,0,0,0,1,0,2277,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2277-149897-0035,none
data\raw\openslr_librispeech_asr\librispeech_dev_2412-153948-0003.flac,0,0,0,1,0,2412,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2412-153948-0003,none
data\raw\openslr_librispeech_asr\librispeech_dev_2078-142845-0010.flac,0,0,0,1,0,2078,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2078-142845-0010,none
data\raw\openslr_librispeech_asr\librispeech_dev_6345-93306-0006.flac,0,0,0,1,0,6345,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_6345-93306-0006,none
data\raw\openslr_librispeech_asr\librispeech_dev_2902-9006-0001.flac,0,0,0,1,0,2902,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2902-9006-0001,none
data\raw\openslr_librispeech_asr\librispeech_dev_1919-142785-0008.flac,0,0,0,1,0,1919,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1919-142785-0008,none
data\raw\openslr_librispeech_asr\librispeech_dev_1919-142785-0015.flac,0,0,0,1,0,1919,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1919-142785-0015,none
data\raw\openslr_librispeech_asr\librispeech_dev_174-168635-0007.flac,0,0,0,1,0,174,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_174-168635-0007,none
data\raw\openslr_librispeech_asr\librispeech_dev_652-129742-0009.flac,0,0,0,1,0,652,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_652-129742-0009,none
data\raw\openslr_librispeech_asr\librispeech_dev_652-130737-0000.flac,0,0,0,1,0,652,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_652-130737-0000,none
data\raw\openslr_librispeech_asr\librispeech_dev_1993-147964-0002.flac,0,0,0,1,0,1993,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1993-147964-0002,none
data\raw\openslr_librispeech_asr\librispeech_dev_1462-170145-0001.flac,0,0,0,1,0,1462,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1462-170145-0001,none
data\raw\openslr_librispeech_asr\librispeech_dev_7850-281318-0008.flac,0,0,0,1,0,7850,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_7850-281318-0008,none
data\raw\openslr_librispeech_asr\librispeech_dev_8297-275155-0001.flac,0,0,0,1,0,8297,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_8297-275155-0001,none
data\raw\openslr_librispeech_asr\librispeech_dev_1272-141231-0008.flac,0,0,0,1,0,1272,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1272-141231-0008,none
data\raw\openslr_librispeech_asr\librispeech_dev_3853-163249-0048.flac,0,0,0,1,0,3853,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3853-163249-0048,none
data\raw\openslr_librispeech_asr\librispeech_dev_2277-149874-0007.flac,0,0,0,1,0,2277,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2277-149874-0007,none
data\raw\openslr_librispeech_asr\librispeech_dev_2078-142845-0013.flac,0,0,0,1,0,2078,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2078-142845-0013,none
data\raw\openslr_librispeech_asr\librispeech_dev_3752-4943-0014.flac,0,0,0,1,0,3752,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3752-4943-0014,none
data\raw\openslr_librispeech_asr\librispeech_dev_5338-284437-0006.flac,0,0,0,1,0,5338,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5338-284437-0006,none
data\raw\openslr_librispeech_asr\librispeech_dev_2078-142845-0026.flac,0,0,0,1,0,2078,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2078-142845-0026,none
data\raw\openslr_librispeech_asr\librispeech_dev_6319-275224-0002.flac,0,0,0,1,0,6319,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_6319-275224-0002,none
data\raw\openslr_librispeech_asr\librispeech_dev_6345-93302-0016.flac,0,0,0,1,0,6345,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_6345-93302-0016,none
data\raw\openslr_librispeech_asr\librispeech_dev_1673-143396-0011.flac,0,0,0,1,0,1673,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1673-143396-0011,none
data\raw\openslr_librispeech_asr\librispeech_dev_2803-161169-0015.flac,0,0,0,1,0,2803,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2803-161169-0015,none
data\raw\openslr_librispeech_asr\librispeech_dev_3576-138058-0031.flac,0,0,0,1,0,3576,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3576-138058-0031,none
data\raw\openslr_librispeech_asr\librispeech_dev_3752-4944-0050.flac,0,0,0,1,0,3752,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3752-4944-0050,none
data\raw\openslr_librispeech_asr\librispeech_dev_3536-23268-0001.flac,0,0,0,1,0,3536,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3536-23268-0001,none
data\raw\openslr_librispeech_asr\librispeech_dev_2902-9008-0016.flac,0,0,0,1,0,2902,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2902-9008-0016,none
data\raw\openslr_librispeech_asr\librispeech_dev_5895-34615-0002.flac,0,0,0,1,0,5895,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5895-34615-0002,none
data\raw\openslr_librispeech_asr\librispeech_dev_7976-110523-0002.flac,0,0,0,1,0,7976,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_7976-110523-0002,none
data\raw\openslr_librispeech_asr\librispeech_dev_84-121123-0004.flac,0,0,0,1,0,84,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_84-121123-0004,none
data\raw\openslr_librispeech_asr\librispeech_dev_1919-142785-0049.flac,0,0,0,1,0,1919,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1919-142785-0049,none
data\raw\openslr_librispeech_asr\librispeech_dev_1462-170145-0021.flac,0,0,0,1,0,1462,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1462-170145-0021,none
data\raw\openslr_librispeech_asr\librispeech_dev_1272-135031-0012.flac,0,0,0,1,0,1272,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1272-135031-0012,none
data\raw\openslr_librispeech_asr\librispeech_dev_2428-83705-0007.flac,0,0,0,1,0,2428,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2428-83705-0007,none
data\raw\openslr_librispeech_asr\librispeech_dev_1462-170142-0037.flac,0,0,0,1,0,1462,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1462-170142-0037,none
data\raw\openslr_librispeech_asr\librispeech_dev_251-136532-0005.flac,0,0,0,1,0,251,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_251-136532-0005,none
data\raw\openslr_librispeech_asr\librispeech_dev_3081-166546-0063.flac,0,0,0,1,0,3081,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3081-166546-0063,none
data\raw\openslr_librispeech_asr\librispeech_dev_6319-57405-0011.flac,0,0,0,1,0,6319,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_6319-57405-0011,none
data\raw\openslr_librispeech_asr\librispeech_dev_3752-4943-0021.flac,0,0,0,1,0,3752,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3752-4943-0021,none
data\raw\openslr_librispeech_asr\librispeech_dev_1462-170138-0014.flac,0,0,0,1,0,1462,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1462-170138-0014,none
data\raw\openslr_librispeech_asr\librispeech_dev_2277-149896-0017.flac,0,0,0,1,0,2277,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2277-149896-0017,none
data\raw\openslr_librispeech_asr\librispeech_dev_251-137823-0025.flac,0,0,0,1,0,251,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_251-137823-0025,none
data\raw\openslr_librispeech_asr\librispeech_dev_6345-93302-0021.flac,0,0,0,1,0,6345,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_6345-93302-0021,none
data\raw\openslr_librispeech_asr\librispeech_dev_3853-163249-0022.flac,0,0,0,1,0,3853,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3853-163249-0022,none
data\raw\openslr_librispeech_asr\librispeech_dev_8297-275155-0011.flac,0,0,0,1,0,8297,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_8297-275155-0011,none
data\raw\openslr_librispeech_asr\librispeech_dev_174-168635-0010.flac,0,0,0,1,0,174,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_174-168635-0010,none
data\raw\openslr_librispeech_asr\librispeech_dev_6345-93306-0015.flac,0,0,0,1,0,6345,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_6345-93306-0015,none
data\raw\openslr_librispeech_asr\librispeech_dev_8297-275154-0025.flac,0,0,0,1,0,8297,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_8297-275154-0025,none
data\raw\openslr_librispeech_asr\librispeech_dev_174-50561-0018.flac,0,0,0,1,0,174,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_174-50561-0018,none
data\raw\openslr_librispeech_asr\librispeech_dev_1988-148538-0012.flac,0,0,0,1,0,1988,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1988-148538-0012,none
data\raw\openslr_librispeech_asr\librispeech_dev_3536-23268-0007.flac,0,0,0,1,0,3536,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3536-23268-0007,none
data\raw\openslr_librispeech_asr\librispeech_dev_6345-93302-0006.flac,0,0,0,1,0,6345,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_6345-93302-0006,none
data\raw\openslr_librispeech_asr\librispeech_dev_84-121123-0017.flac,0,0,0,1,0,84,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_84-121123-0017,none
data\raw\openslr_librispeech_asr\librispeech_dev_6319-57405-0003.flac,0,0,0,1,0,6319,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_6319-57405-0003,none
data\raw\openslr_librispeech_asr\librispeech_dev_174-168635-0019.flac,0,0,0,1,0,174,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_174-168635-0019,none
data\raw\openslr_librispeech_asr\librispeech_dev_2086-149220-0046.flac,0,0,0,1,0,2086,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2086-149220-0046,none
data\raw\openslr_librispeech_asr\librispeech_dev_1993-147964-0004.flac,0,0,0,1,0,1993,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1993-147964-0004,none
data\raw\openslr_librispeech_asr\librispeech_dev_3576-138058-0005.flac,0,0,0,1,0,3576,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3576-138058-0005,none
data\raw\openslr_librispeech_asr\librispeech_dev_5338-24615-0010.flac,0,0,0,1,0,5338,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5338-24615-0010,none
data\raw\openslr_librispeech_asr\librispeech_dev_2035-147961-0016.flac,0,0,0,1,0,2035,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2035-147961-0016,none
data\raw\openslr_librispeech_asr\librispeech_dev_777-126732-0035.flac,0,0,0,1,0,777,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_777-126732-0035,none
data\raw\openslr_librispeech_asr\librispeech_dev_3752-4943-0023.flac,0,0,0,1,0,3752,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3752-4943-0023,none
data\raw\openslr_librispeech_asr\librispeech_dev_84-121550-0027.flac,0,0,0,1,0,84,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_84-121550-0027,none
data\raw\openslr_librispeech_asr\librispeech_dev_3853-163249-0054.flac,0,0,0,1,0,3853,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3853-163249-0054,none
data\raw\openslr_librispeech_asr\librispeech_dev_3853-163249-0004.flac,0,0,0,1,0,3853,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3853-163249-0004,none
data\raw\openslr_librispeech_asr\librispeech_dev_6345-93306-0000.flac,0,0,0,1,0,6345,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_6345-93306-0000,none
data\raw\openslr_librispeech_asr\librispeech_dev_3752-4943-0025.flac,0,0,0,1,0,3752,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3752-4943-0025,none
data\raw\openslr_librispeech_asr\librispeech_dev_2078-142845-0019.flac,0,0,0,1,0,2078,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2078-142845-0019,none
data\raw\openslr_librispeech_asr\librispeech_dev_1673-143397-0004.flac,0,0,0,1,0,1673,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1673-143397-0004,none
data\raw\openslr_librispeech_asr\librispeech_dev_3536-8226-0001.flac,0,0,0,1,0,3536,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3536-8226-0001,none
data\raw\openslr_librispeech_asr\librispeech_dev_3752-4944-0025.flac,0,0,0,1,0,3752,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3752-4944-0025,none
data\raw\openslr_librispeech_asr\librispeech_dev_174-50561-0007.flac,0,0,0,1,0,174,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_174-50561-0007,none
data\raw\openslr_librispeech_asr\librispeech_dev_652-129742-0016.flac,0,0,0,1,0,652,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_652-129742-0016,none
data\raw\openslr_librispeech_asr\librispeech_dev_3170-137482-0044.flac,0,0,0,1,0,3170,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3170-137482-0044,none
data\raw\openslr_librispeech_asr\librispeech_dev_2803-154328-0009.flac,0,0,0,1,0,2803,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2803-154328-0009,none
data\raw\openslr_librispeech_asr\librispeech_dev_652-129742-0003.flac,0,0,0,1,0,652,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_652-129742-0003,none
data\raw\openslr_librispeech_asr\librispeech_dev_3170-137482-0040.flac,0,0,0,1,0,3170,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3170-137482-0040,none
data\raw\openslr_librispeech_asr\librispeech_dev_2035-147961-0001.flac,0,0,0,1,0,2035,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2035-147961-0001,none
data\raw\openslr_librispeech_asr\librispeech_dev_652-130737-0001.flac,0,0,0,1,0,652,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_652-130737-0001,none
data\raw\openslr_librispeech_asr\librispeech_dev_5338-24615-0009.flac,0,0,0,1,0,5338,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5338-24615-0009,none
data\raw\openslr_librispeech_asr\librispeech_dev_3853-163249-0053.flac,0,0,0,1,0,3853,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3853-163249-0053,none
data\raw\openslr_librispeech_asr\librispeech_dev_5694-64025-0010.flac,0,0,0,1,0,5694,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5694-64025-0010,none
data\raw\openslr_librispeech_asr\librispeech_dev_2277-149896-0028.flac,0,0,0,1,0,2277,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2277-149896-0028,none
data\raw\openslr_librispeech_asr\librispeech_dev_5338-284437-0007.flac,0,0,0,1,0,5338,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5338-284437-0007,none
data\raw\openslr_librispeech_asr\librispeech_dev_8297-275155-0028.flac,0,0,0,1,0,8297,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_8297-275155-0028,none
data\raw\openslr_librispeech_asr\librispeech_dev_3536-8226-0014.flac,0,0,0,1,0,3536,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3536-8226-0014,none
data\raw\openslr_librispeech_asr\librispeech_dev_3000-15664-0010.flac,0,0,0,1,0,3000,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3000-15664-0010,none
data\raw\openslr_librispeech_asr\librispeech_dev_7976-110124-0010.flac,0,0,0,1,0,7976,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_7976-110124-0010,none
data\raw\openslr_librispeech_asr\librispeech_dev_84-121123-0021.flac,0,0,0,1,0,84,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_84-121123-0021,none
data\raw\openslr_librispeech_asr\librispeech_dev_84-121123-0025.flac,0,0,0,1,0,84,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_84-121123-0025,none
data\raw\openslr_librispeech_asr\librispeech_dev_251-118436-0008.flac,0,0,0,1,0,251,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_251-118436-0008,none
data\raw\openslr_librispeech_asr\librispeech_dev_1988-147956-0014.flac,0,0,0,1,0,1988,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1988-147956-0014,none
data\raw\openslr_librispeech_asr\librispeech_dev_7976-105575-0004.flac,0,0,0,1,0,7976,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_7976-105575-0004,none
data\raw\openslr_librispeech_asr\librispeech_dev_5895-34622-0003.flac,0,0,0,1,0,5895,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5895-34622-0003,none
data\raw\openslr_librispeech_asr\librispeech_dev_3170-137482-0028.flac,0,0,0,1,0,3170,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3170-137482-0028,none
data\raw\openslr_librispeech_asr\librispeech_dev_1462-170145-0014.flac,0,0,0,1,0,1462,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1462-170145-0014,none
data\raw\openslr_librispeech_asr\librispeech_dev_2428-83705-0029.flac,0,0,0,1,0,2428,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2428-83705-0029,none
data\raw\openslr_librispeech_asr\librispeech_dev_251-118436-0012.flac,0,0,0,1,0,251,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_251-118436-0012,none
data\raw\openslr_librispeech_asr\librispeech_dev_174-50561-0004.flac,0,0,0,1,0,174,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_174-50561-0004,none
data\raw\openslr_librispeech_asr\librispeech_dev_2035-152373-0011.flac,0,0,0,1,0,2035,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2035-152373-0011,none
data\raw\openslr_librispeech_asr\librispeech_dev_1462-170142-0039.flac,0,0,0,1,0,1462,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1462-170142-0039,none
data\raw\openslr_librispeech_asr\librispeech_dev_2035-147961-0026.flac,0,0,0,1,0,2035,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2035-147961-0026,none
